Site.name,Site.ID,Site.Code,Depth,Reef.type,Photo Name,Anemone,Corallimorph,Bare rock,Acropora,Bleached Acropora,Bleached Coral,Colourful bleaching,Coral,Sponge,Halimeda,Other Algae,Turf,Crustose coralline algae,Rubble,Sand,Soft Coral,Dead Standing Coral,Other live,Diseased coral,Shadow,Tape,Wand,Sum.excl.TWS
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_07.jpg,0,0,10,0,0,0,0,33.3,33.3,0,0,0,20,0,0,0,3.3,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_08.jpg,0,0,0,6.9,0,0,0,17.2,37.9,0,0,0,37.9,0,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_09.jpg,0,0,3.4,20.7,0,0,0,31,24.1,0,0,0,10.3,0,0,0,10.3,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep1_10.jpg,0,0,6.9,6.9,0,0,0,58.6,24.1,0,0,0,3.4,0,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_01.jpg,0,0,50,13.3,0,0,0,10,6.7,0,0,0,20,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_02.jpg,0,0,33.3,0,0,0,0,20,30,0,0,0,16.7,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_03.jpg,0,0,13.3,10,0,0,0,33.3,10,0,0,0,23.3,0,0,0,10,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_04.jpg,0,0,23.3,3.3,0,0,0,20,16.7,0,0,0,33.3,0,0,0,3.3,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_05.jpg,0,0,0,0,0,0,0,30,43.3,0,0,0,26.7,0,0,0,0,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_06.jpg,0,0,10.3,10.3,0,0,0,34.5,20.7,0,0,0,20.7,0,0,0,3.4,0,0,3.3,0,0,100
