"","Site.ID","Site","Depth","Reef type","year","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"121","GO","Gaadhoo outside","10m","Outer","2021/22",10,0,0,0,0,3.3,0,30,0,10,46.7
"122","GO","Gaadhoo outside","10m","Outer","2021/22",13.3,0,0,0,0,0,0,80,0,0,6.7
"123","GO","Gaadhoo outside","10m","Outer","2021/22",30,0,0,0,0,0,0,66.7,0,0,3.3
"124","GO","Gaadhoo outside","10m","Outer","2021/22",0,0,0,0,0,0,0,100,0,0,0
"125","GO","Gaadhoo outside","10m","Outer","2021/22",6.6,0,0,0,0,10,0,76.7,0,0,6.7
"126","GO","Gaadhoo outside","10m","Outer","2021/22",16.6,0,0,0,0,0,0,83.3,0,0,0
"127","GO","Gaadhoo outside","10m","Outer","2021/22",6.7,0,0,0,0,6.7,0,86.7,0,0,0
"128","GO","Gaadhoo outside","10m","Outer","2021/22",14.3,0,0,0,0,35.7,0,46.4,0,0,3.6
"129","GO","Gaadhoo outside","10m","Outer","2021/22",0,0,0,0,0,36.7,0,63.3,0,0,0
"130","GO","Gaadhoo outside","10m","Outer","2021/22",0,0,0,0,0,0,0,100,0,0,0
"131","GO","Gaadhoo outside","10m","Outer","2021/22",20,0,0,0,0,6.7,0,50,0,0,23.3
"132","GO","Gaadhoo outside","10m","Outer","2021/22",26.7,0,0,0,0,0,0,56.7,0,0,16.7
"133","GO","Gaadhoo outside","10m","Outer","2021/22",10,0,0,0,0,6.7,0,83.3,0,0,0
"134","GO","Gaadhoo outside","10m","Outer","2021/22",16.7,0,0,0,0,6.7,0,76.7,0,0,0
"135","GO","Gaadhoo outside","10m","Outer","2021/22",0,0,0,0,0,3.3,0,90,0,0,6.7
"136","GO","Gaadhoo outside","10m","Outer","2021/22",3.3,0,0,0,0,3.3,0,93.3,0,0,0
"137","GO","Gaadhoo outside","10m","Outer","2021/22",6.7,0,0,0,0,0,0,93.3,0,0,0
"138","GO","Gaadhoo outside","10m","Outer","2021/22",23.3,0,0,0,0,6.7,0,70,0,0,0
"139","GO","Gaadhoo outside","10m","Outer","2021/22",10,0,0,0,0,3.3,0,86.7,0,0,0
"140","GO","Gaadhoo outside","10m","Outer","2021/22",6.7,0,0,0,0,10,0,76.7,0,0,6.7
"141","GO","Gaadhoo outside","15m","Outer","2021/22",3.3,0,0,0,0,6.7,0,90,0,0,0
"142","GO","Gaadhoo outside","15m","Outer","2021/22",0,0,0,0,0,3.3,0,96.7,0,0,0
"143","GO","Gaadhoo outside","15m","Outer","2021/22",10,0,0,0,0,13.3,0,76.7,0,0,0
"144","GO","Gaadhoo outside","15m","Outer","2021/22",50,0,0,0,0,6.7,0,43.3,0,0,0
"145","GO","Gaadhoo outside","15m","Outer","2021/22",0,0,0,0,6.9,3.4,0,89.7,0,0,0
"146","GO","Gaadhoo outside","15m","Outer","2021/22",0,0,0,0,0,17.2,0,82.8,0,0,0
"147","GO","Gaadhoo outside","15m","Outer","2021/22",3.6,0,0,0,0,10.7,7.1,78.6,0,0,0
"148","GO","Gaadhoo outside","15m","Outer","2021/22",6.6,0,0,0,0,13.3,0,80,0,0,0
"149","GO","Gaadhoo outside","15m","Outer","2021/22",10,0,0,0,0,3.3,0,80,0,3.3,3.3
"150","GO","Gaadhoo outside","15m","Outer","2021/22",10.3,0,0,0,0,10.3,0,72.4,0,6.9,0
"151","GO","Gaadhoo outside","15m","Outer","2021/22",40,0,0,0,0,0,0,60,0,0,0
"152","GO","Gaadhoo outside","15m","Outer","2021/22",23.4,0,0,0,0,0,0,76.7,0,0,0
