Date,Site,Depth,Replicate,Reef impacts,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,1,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/03/2019,MC,15m,2,FISHING LINES,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,FISHING LINES,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,TRASH,,,
08/10/2019,MI,10m,1,FISHING LINES,,,
08/10/2019,MI,10m,2,COTS/CS DAMAGE,,,
08/10/2019,MI,10m,2,COTS/CS DAMAGE,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
